1.3101,5.4874,2.2588,4.5963,5.9372
3.0237,0.73515,0.026474,0.80476,3.8464
3.4817,3.1143,3.6362,1.2691,1.061
3.0407,2.0058,2.1895,2.6063,1.2528
4.3831,2.0543,0.83246,2.3394,1.4641
5.6444,1.0072,4.0136,4.0616,0.67052
5.413,1.9878,4.4224,2.2026,1.3586
4.1458,5.317,0.82823,0.2035,2.5145
1.9739,3.6308,0.26065,0.75926,4.6628
3.6128,2.4037,4.0862,3.2092,5.8464
5.0395,3.1523,5.1378,3.3818,1.5104
1.5862,0.85877,3.7368,0.10871,5.3218
3.9909,1.5667,1.3891,5.7524,1.718
3.2419,5.7193,4.9767,4.6603,0.73317
1.8956,1.3259,5.598,0.44948,0.82806
1.9494,4.4558,1.2624,3.2945,3.6553
4.0953,4.8659,1.6351,4.1296,2.3438
0.41619,4.9547,2.7052,1.8007,3.6835
0.11686,1.8316,0.50457,0.21882,1.5171
3.871,5.76,3.6129,1.3186,0.2375
1.7847,1.4364,1.3064,1.6583,5.4611
1.2873,5.1971,1.177,0.098145,2.7043
5.8324,1.2919,3.2862,0.15101,4.7207
0.45319,1.6278,1.2152,4.7287,0.78558
2.727,0.89433,1.0997,3.6797,5.1433
5.6216,2.4013,2.8477,5.4936,4.614
2.8376,4.3097,0.57807,0.071098,3.0371
3.1836,1.5908,1.9966,4.6604,0.54853
1.8212,3.3871,1.6828,0.54458,4.042
3.9184,4.7325,3.9227,5.6809,2.7662
4.2586,1.065,5.7229,1.6483,1.3628
5.9003,5.7944,4.921,0.8935,5.0147
3.8987,3.4428,1.5652,2.0224,3.7426
3.9279,5.0996,2.2911,0.71328,5.402
0.17791,4.0342,1.1262,4.6933,2.2219
0.72723,5.3835,3.9569,2.9704,3.9011
3.5895,5.963,5.3697,1.0051,3.2363
4.73,2.9893,1.0517,4.357,0.75487
3.2295,5.8471,3.7646,4.5107,3.1541
0.56154,3.3646,4.784,1.8783,2.5898
4.7455,2.4167,1.8208,2.964,2.502
0.3051,0.78205,2.6045,3.1729,1.454
2.7403,3.8714,2.03,0.98574,2.622
1.5026,3.4358,5.5087,1.5084,2.4853
4.4045,4.8159,2.9853,4.7897,2.4303
0.73807,0.059713,5.8391,3.0667,0.032133
2.8185,1.276,2.8167,0.046265,1.0082
4.7953,4.5555,4.8429,0.83004,5.9015
2.8466,5.7515,4.1365,5.2528,2.6196
4.2121,3.9635,0.80561,3.1025,1.7028
0.16105,3.1871,0.89831,3.3431,4.2071
3.2792,3.3468,4.962,0.78004,2.797
5.7072,2.2259,2.7486,0.118,1.2337
5.8151,1.0377,2.7188,1.2546,3.0635
3.1766,4.0346,5.0033,2.8396,0.99728
2.5149,3.597,3.9194,1.2312,1.5651
2.9148,0.094549,0.67868,3.662,4.8012
4.8461,4.9252,4.9224,4.8768,1.7664
4.978,1.8049,3.5515,3.8855,2.128
5.8864,3.2799,0.87845,5.1905,4.0959
0.44721,0.3637,1.5142,0.5634,5.8644
4.4393,3.9028,3.0834,4.3192,5.9761
3.4131,5.9091,1.1774,3.8122,0.84477
1.0874,0.62715,1.8621,2.1325,2.9988
3.2982,4.4855,2.3731,0.85756,5.2501
